Posisi,Perusahaan,Lokasi,Type,Gaji,Requirements,Link
Manager - IFS - Entrepreneurial and Private Business (Business Development),PwC Indonesia,Jakarta Raya,Full time,,"Analyse and identify the linkages and interactions between the component parts of an entire system.; Take ownership of projects, ensuring their successful planning, budgeting, execution, and completion.; Partner with team leadership to ensure collective ownership of quality, timelines, and deliverables.; Develop skills outside your comfort zone, and encourage others to do the same.; Effectively mentor others.; Use the review of work as an opportunity to deepen the expertise of team members.; Address conflicts or issues, engaging in difficult conversations with clients, team members and other stakeholders, escalating where appropriate.; Uphold and reinforce professional and technical standards (e.g. refer to specific PwC tax and audit guidance), the Firm's code of conduct, and independence requirements.; Minimum 5-7 years of experience in the similar position, with the background of accounting, tax,finance or investment strategy.; Experience working at Big Four / consultancy firm / Venture Capital/Banking; Additional working experience in the family business, large conglomeration, Venture Capitals, or start-ups is a plus; Strong business acumen, commercial and analytical skills; Strong interpersonal and presentation skills; Agility in working in a matrix organisation",https://id.jobstreet.com/id/job/87240744?type=standard&ref=search-standalone&origin=cardTitle
Region Merchant Partnership & Activation Manager,PT GOTO GOJEK TOKOPEDIA TBK,Medan,Full time,,"Analyze market dynamics, monitor competitor activities, and provide insights to refine regional merchant strategies.; Develop and implement initiatives to enhance merchant engagement, activation, and long-term partnerships within the region.; Identify operational inefficiencies in the sales region team, lead problem-solving sessions, and propose actionable recommendations to improve merchant activation and partnerships.; Manage the Region Dashboard, analyze key performance metrics, and provide actionable insights and recommendations for regional teams.; Work closely with cross-functional teams, including Sales, Operations, Marketing, and Product, to drive merchant engagement and optimize the merchant lifecycle.; At least 5 years of experience in sales operations, strategy, or project management, with a focus on market analysis and competitive dynamics.; Strong problem-solving and analytical skills to lead sessions and propose actionable changes.; Demonstrated leadership ability to manage teams and act as Region Sales Senior Manager when needed.; Expertise in managing dashboards, analyzing data, and providing actionable insights.; Strategic thinking and collaboration skills for working with cross-functional teams.; Proven track record in leading expansion projects and improving sales processes.; In-depth knowledge of regional market dynamics, competitor activities, and sales operations.; Excellent communication, project management, and organizational skills.",https://id.jobstreet.com/id/job/87400339?type=standard&ref=search-standalone&origin=cardTitle
Supply Strategy Senior Manager,PT GOTO GOJEK TOKOPEDIA TBK,Jakarta Raya,Full time,,"Lead the end-to-end supply strategy for Gojek Ads, covering inventory management, pricing, and delivery to maximize revenue and efficiency.; Drive decisions on utilization, fill, and realization rates, intervening with pricing or targeting logic to meet committed impressions and clicks.; Set and evolve pricing models (CPC, CPM, CPO) in partnership with product and demand teams to align with advertiser outcomes and market dynamics.; Build and oversee dashboards and forecasting processes to track ad load requirements, surface performance, and pacing across zones and categories.; Collaborate with sales, product, and demand teams to balance monetization goals with advertiser performance and user experience.; Guide experimentation on alternative pricing and bidding strategies to improve ROI and advertiser retention.; Own reporting and insights on key supply metrics, providing clear recommendations to leadership for continuous optimization.; 7+ years of experience in marketplace operations, or supply-side platform management, with at least 3 years in senior leadership role.; Strong expertise in inventory management, pricing strategy, and auction-based ad delivery.; Proven ability to analyze complex data sets and translate insights into actionable supply and revenue strategies.; Proficiency with analytics tools (e.g, Excel, or BI dashboards) and comfort working with large-scale data.; Excellent stakeholder management skills to align cross-functional teams across product, sales, and demand.; Track record of driving measurable revenue growth and operational efficiency in a fast-paced environment.; Strong strategic thinking and decision-making skills, with the ability to balance advertiser performance and user experience.",https://id.jobstreet.com/id/job/87400340?type=standard&ref=search-standalone&origin=cardTitle
Commis I25137114,Sheraton Bali Kuta Resort,Bangka Belitung,Full time,,,https://id.jobstreet.com/id/job/87231477?type=standard&ref=search-standalone&origin=cardTitle
Fleet Management Staff,Kawan Lama Group,Denpasar,Full time,,Usia maksimal 35 tahun.; Pendidikan minimal SMA/sederajat.; Pengalaman minimal 1 tahun sebagai di bidang yang sama.; Pengetahuan kendaraan & pemeliharaannya (diutamakan jenis truk); Pengetahuan K3LL,https://id.jobstreet.com/id/job/87234032?type=standard&ref=search-standalone&origin=cardTitle
Sales (live Streaming),Kawan Lama Group,Kecamatan Tangerang,Full time,,Pendidikan minimal D3/S1 segala jurusan.; Aktif menggunakan sosial media.; Diutamakan memiliki pengalaman dalam bidang Social Media Marketing.; Selling Skill; Menguasai Penggunaan Media Sosial,https://id.jobstreet.com/id/job/87234040?type=standard&ref=search-standalone&origin=cardTitle
Commis I - Banquet25086176,Sheraton Bali Kuta Resort,Bangka Belitung,Full time,,,https://id.jobstreet.com/id/job/84462312?type=standard&ref=search-standalone&origin=cardTitle
General Manager - Sheraton Senggigi Beach Resort25069446,Sheraton Bali Kuta Resort,Nusa Tenggara Barat,Full time,,,https://id.jobstreet.com/id/job/83869602?type=standard&ref=search-standalone&origin=cardTitle
Receptionist (BSD City),PT CBRE Consultancy Services,Jawa Barat,Full time,,"Opportunity to work with a prestigious client, a global leader renowned for its innovative technology product; Exposure to a high-profile, fast-paced setting; Represent a global leader in innovation, boosting your career prospects; Location: BSD City; Receive and direct incoming calls to appropriate personnel and voicemail.; Greet clients, applicants, and visitors upon arrival. Issue visitor passes and parking validations and follow security protocols.; Schedule and prepare meeting and conference rooms. This includes room setup, placing catering orders, and securing technological equipment. Request building and housekeeping services as needed.; Perform general clerical duties including distributing office faxes and packages and ordering office supplies.; Track incoming and outgoing packages, mail, and freight. Arrange messenger service as needed. Arrange hospitality services for guests such as transportation, tickets, reservations, etc.; Use existing procedures to solve straightforward problems while having a limited opportunity to exercise discretion.; Impact through clearly defined duties, methods, and tasks are described in detail.; Deliver own output by following defined procedures and processes under close supervision and guidance.; High School Diploma or GED with up to 2 years of relevant customer service experience.; Articulate, confident and possess excellent English verbal communication skills, enabling you to interact effectively with a diverse global clientele and stakeholders.; Warm, positive, shows genuine enthusiasm in providing outstanding customer service, creating a welcome atmosphere for all.; Strong desire to learn and adapt, embrace new challenges and seeking opportunities for continuous professional development.; Working knowledge of Microsoft Office products. Examples include Word, Excel, Outlook, etc.; Strong organizational skills with an inquisitive mindset.; Basic math skills. Ability to calculate simple figures such as percentages, discounts, and markups.; Build a strong foundation for your professional journey, gaining valuable experience and skills within a globally recognized real estate services leader and working with a cutting-edge client.; Be the face of a welcoming and efficient workplace, contributing directly to positive first impressions and seamless operations for a world-renowned technology innovator.; Hone your communication, organizational, and problem-solving abilities in a dynamic and fast-paced environment, enhancing your ability to manage diverse tasks effectively.; Expand your professional network and gain exposure to industry best practices while working alongside a team dedicated to providing exceptional service",https://id.jobstreet.com/id/job/86600677?type=standard&ref=search-standalone&origin=cardTitle
(JV2511003) Account Officer (Sales) - Jakarta,"PT Asuransi Bintang, Tbk",Jakarta Selatan,Full time,,"Pendidikan minimal S1 dengan IPK minimal 3.00; Pengalaman 2 tahun sebagai Sales di Industri Asuransi Umum (handle Agent/Broker/Direct-Non Direct/Banking); Bisa mengemudikan mobil dan memiliki SIM A; Penempatan: Jakarta; Memastikan tercapainya target penjualan individu sesuai segmen pasar dan/atau Sumber Bisnis yang ditugaskan dan disepakati bersama sesuai dengan Daftar Target KPI Insentif, dengan cara memperoleh bisnis melalui nasabah baru (New Business) dan atau nasabah lama (Renewal Business) dan atau melalui diversifikasi produk dari nasabah tersebut. Khusus Agency Relation, melakukan rekrutmen, administrasi, melaksanakan program-program berkaitan dengan pengembangan dan memonitor pekerjaan agen-agen; Mencatat segala aktivitas penjualan melalui tools yang disediakan, diantaranya SFA (Sales Force Automation).; Melakukan kunjungan berkala serta komunikasi yang efektif dengan Pelanggan, dengan tujuan untuk menjaga loyalitas Pelanggan (Retetion of Customer) serta mengupayakan pertumbuhan jumlah pelanggan (Expansion of Customer). Termasuk dengan Jalur Distribusinya.; Menerima dan memastikan (menjadi perantara) penanganan  keluhan pelanggan.; Mengembangkan kompetensi diri yang sesuai dengan daftar kualifikasi (tabel Qualification/kompetensi).; Pengisian FAP (Form Aplikasi Pelamar); Screening (administrasi, kesehatan, background check); Pencocokan Kompetensi (test psikologi, test kompetensi, interview, test lain yg diperlukan); Offering (penawaran)",https://id.jobstreet.com/id/job/88542557?type=standard&ref=search-standalone&origin=cardTitle
Sales and Insurance Intern,PT Global Tiket Network,Jakarta Raya,Full time,,You are a passionate fresh graduate or final-semester student who is currently pursuing a degree (Candidate with less working experience is also welcomed); Knowledge and interest on OTA industry and familiar with business of tiket (Candidate with experience using tiket.com platform is preferred); Ability to work with diverse stakeholders (Including those who are more senior and experienced); Knowing tiket insurance product / having experience with travel insurance; Knowledge and interest on OTA industry and familiar with business of tiket; Basic knowledge on insurance related field is a plus; Willing to commit for 6 months,https://id.jobstreet.com/id/job/87409275?type=standard&ref=search-standalone&origin=cardTitle
Assistant Manager Event Booking Center25149743,Sheraton Bali Kuta Resort,Jakarta Raya,Full time,,,https://id.jobstreet.com/id/job/87226422?type=standard&ref=search-standalone&origin=cardTitle
Marketing Manager25149858,W Hotels,Seminyak,Full time,,,https://id.jobstreet.com/id/job/87225287?type=standard&ref=search-standalone&origin=cardTitle
Director Sales & Marketing25081990,Sheraton Bali Kuta Resort,Bangka Belitung,Full time,,,https://id.jobstreet.com/id/job/84297360?type=standard&ref=search-standalone&origin=cardTitle
Service Technician [JABODETABEK],PT. Berca Schindler Lifts,Jakarta Raya,Full time,,Memastikan pelanggan selalu terinformasikan akan status produk yang mereka miliki; Melakukan perbaikan berdasarkan daftar pemeriksaan pemeliharaan; Hadir dan melakukan perbaikan produk yang mengalami kendala dan atau kerusakan; Melakukan layanan siaga malam sesuai dengan jadwal dan panggilan darurat; Bekerjasama dengan Supervisor dan Service Sales Executive untuk melakukan pekerjaan perbaikan yang berbiaya; Memberikan umpan balik kepada Service Sales terkait dengan peluang perbaikan; Menghadiri seluruh pelatihan mengenai Keselamatan dan Lingkungan Kerja yang disediakan oleh Perusahaan dan pihak terkait lainnya; Segera melaporkan kondisi yang bertentangan dengan aturan mengenai Keselamatan dan Lingkungan Kerja; Mematuhi peraturan / prosedur mengenai Keselamatan Kerja; Menggunakan alat pelindung diri yang sesuai pada saat melakukan pekerjaan; Menjaga peralatan kerja dan lingkungan kerja yang kondusif; Melaporkan kecelakaan kerja dan atau kejadian yang berpotensi bahayaRequirement:; Lulusan SMA/ SMK/ D3 Elektro/ Mekatronika; Bersedia ditempatkan dimana saja; Berpengalaman di Industri yang sama (Elevator/ Escalator) minimal 6 bulan - 1 tahun,https://id.jobstreet.com/id/job/87227912?type=standard&ref=search-standalone&origin=cardTitle
Business Representative - Manado,ASSA Rent (Jakarta),Jakarta Utara,Full time,,"Maximum age of 30 years; Min. Associate Degree from all major; Preferably have experience in the area of negotiation and sales; Communicative, confident & sociable; Good looking and attractive; Placement in Manado",https://id.jobstreet.com/id/job/85107805?type=standard&ref=search-standalone&origin=cardTitle
